Year,AphiaID,Species Latin Name,Area,Country,AMS Catch(TLW),BMS Catch(TLW)
2019,105820,Galeorhinus galeus,27_2_A_2,NO,0.05,
2019,105841,Lamna nasus,27_2_A_2,NO,4.17,
2019,105841,Lamna nasus,27_4_A,NO,0.23,
2019,105841,Lamna nasus,27_4_B,NO,0.05,
2019,105865,Amblyraja radiata,27_1_B,NO,230.97,
2019,105865,Amblyraja radiata,27_2_A_2,NO,2.3,
2019,105865,Amblyraja radiata,27_2_B_2,NO,0.27,
2019,105869,Dipturus batis,27_2_A_2,NO,1.92,
2019,105869,Dipturus batis,27_4_A,NO,4.62,
2019,105883,Raja clavata,27_1_B,NO,7.53,
2019,105883,Raja clavata,27_2_A_2,NO,0,
2019,105883,Raja clavata,27_4_A,NO,5.76,
2019,105923,Squalus acanthias,27_1_B,NO,0,
2019,105923,Squalus acanthias,27_2_A_2,NO,182.66,
2019,105923,Squalus acanthias,27_3_A,NO,37.57,
2019,105923,Squalus acanthias,27_4_A,NO,136.1,
2019,105923,Squalus acanthias,27_4_B,NO,13.17,
2019,107254,Nephrops norvegicus,27_2_A_2,NO,183.84,
2019,107254,Nephrops norvegicus,27_3_A,NO,109.85,
2019,107254,Nephrops norvegicus,27_4_A,NO,99.01,
2019,107254,Nephrops norvegicus,27_4_B,NO,1.32,
2019,107649,Pandalus borealis,27_1_A,NO,5745.71,
2019,107649,Pandalus borealis,27_1_B,NO,17276.8,
2019,107649,Pandalus borealis,27_2_A_2,NO,722.75,
2019,107649,Pandalus borealis,27_2_B_2,NO,179.89,
2019,107649,Pandalus borealis,27_3_A,NO,2896.79,
2019,107649,Pandalus borealis,27_4_A,NO,1218.68,
2019,125909,Ammodytes,27_4_A,NO,81778.3,
2019,125909,Ammodytes,27_4_B,NO,43007.2,
2019,126281,Anguilla anguilla,27_3_A,NO,1.82,
2019,126281,Anguilla anguilla,27_4_A,NO,2.28,
2019,126417,Clupea harengus,27_1_B,NO,278.18,
2019,126417,Clupea harengus,27_2_A_1,NO,113309,
2019,126417,Clupea harengus,27_2_A_2,NO,337725,
2019,126417,Clupea harengus,27_3_A,NO,2464.45,
2019,126417,Clupea harengus,27_4_A,NO,117850,
2019,126417,Clupea harengus,27_4_B,NO,10767.7,
2019,126417,Clupea harengus,27_6_A,NO,2.71,
2019,126421,Sardina pilchardus,27_4_A,NO,1.56,
2019,126425,Sprattus sprattus,27_2_A_2,NO,1043.78,
2019,126425,Sprattus sprattus,27_3_A,NO,252.42,
2019,126425,Sprattus sprattus,27_4_A,NO,620.39,
2019,126425,Sprattus sprattus,27_4_B,NO,9965.89,
2019,126425,Sprattus sprattus,27_4_C,NO,573.91,
2019,126426,Engraulis encrasicolus,27_3_A,NO,0.05,
2019,126436,Gadus morhua,27_1_B,NO,73503.1,
2019,126436,Gadus morhua,27_14_B_2,NO,1209.64,
2019,126436,Gadus morhua,27_2_A_1,NO,0.15,
2019,126436,Gadus morhua,27_2_A_2,NO,203450,
2019,126436,Gadus morhua,27_2_B_2,NO,44981.1,
2019,126436,Gadus morhua,27_3_A,NO,151.6,
2019,126436,Gadus morhua,27_4_A,NO,3750.8,
2019,126436,Gadus morhua,27_4_B,NO,766.85,
2019,126436,Gadus morhua,27_5_A_2,NO,13.95,
2019,126436,Gadus morhua,27_5_B_1_B,NO,219.26,
2019,126436,Gadus morhua,27_6_A,NO,46.78,
2019,126436,Gadus morhua,27_6_B_1,NO,0.37,
2019,126436,Gadus morhua,27_6_B_2,NO,4.97,
2019,126437,Melanogrammus aeglefinus,27_1_B,NO,32939.8,
2019,126437,Melanogrammus aeglefinus,27_14_B_2,NO,0.38,
2019,126437,Melanogrammus aeglefinus,27_2_A_2,NO,43410.6,
2019,126437,Melanogrammus aeglefinus,27_2_B_2,NO,17404.7,
2019,126437,Melanogrammus aeglefinus,27_3_A,NO,27.41,
2019,126437,Melanogrammus aeglefinus,27_4_A,NO,1414.06,
2019,126437,Melanogrammus aeglefinus,27_4_B,NO,102.55,
2019,126437,Melanogrammus aeglefinus,27_4_C,NO,0.16,
2019,126437,Melanogrammus aeglefinus,27_5_A_2,NO,0.31,
2019,126437,Melanogrammus aeglefinus,27_5_B_1_B,NO,40.51,
2019,126437,Melanogrammus aeglefinus,27_5_B_2,NO,1.26,
2019,126437,Melanogrammus aeglefinus,27_6_A,NO,9.75,
2019,126437,Melanogrammus aeglefinus,27_6_B_1,NO,7.32,
2019,126437,Melanogrammus aeglefinus,27_6_B_2,NO,5.66,
2019,126438,Merlangius merlangus,27_1_B,NO,1.3,
2019,126438,Merlangius merlangus,27_2_A_2,NO,21.61,
2019,126438,Merlangius merlangus,27_2_B_2,NO,0.04,
2019,126438,Merlangius merlangus,27_3_A,NO,3.46,
2019,126438,Merlangius merlangus,27_4_A,NO,997.64,
2019,126438,Merlangius merlangus,27_4_B,NO,104.76,
2019,126438,Merlangius merlangus,27_5_B_1_B,NO,0.23,
2019,126439,Micromesistius poutassou,27_2_A_1,NO,534.03,
2019,126439,Micromesistius poutassou,27_2_A_2,NO,759.05,
2019,126439,Micromesistius poutassou,27_4_A,NO,21210,
2019,126439,Micromesistius poutassou,27_4_B,NO,24.72,
2019,126439,Micromesistius poutassou,27_5_B_1_B,NO,2451.91,
2019,126439,Micromesistius poutassou,27_6_A,NO,97762.3,
2019,126439,Micromesistius poutassou,27_6_B_1,NO,1008.01,
2019,126439,Micromesistius poutassou,27_6_B_2,NO,19038.8,
